출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020160059963¶4¶H04N 19/146¶(2014.01.01)
1020160059963¶5¶G06T 7/00¶(2017.01.01)
1020157018589¶1¶G06F 13/14¶(2006.01.01)
1020157018589¶2¶G06F 13/38¶(2006.01.01)
1020157018589¶3¶G09G 5/00¶(2006.01.01)
1020190062117¶1¶A63B 71/06¶(2006.01.01)
1020190062117¶2¶A63B 24/00¶(2006.01.01)
1020190062117¶3¶G06F 3/00¶(2006.01.01)
1020190062117¶4¶G06F 3/01¶(2006.01.01)
1020190062117¶5¶G02B 27/01¶(2006.01.01)
1020190004681¶1¶A61F 5/01¶(2006.01.01)
1020190004681¶2¶G04F 1/00¶(2006.01.01)
1020190004681¶3¶A41D 13/08¶(2006.01.01)
1020207031981¶1¶G06K 7/10¶(2006.01.01)
1020207031981¶2¶G06F 3/01¶(2006.01.01)
1020227044393¶1¶B25J 9/04¶(2006.01.01)
1020227044393¶2¶B25J 9/10¶(2006.01.01)
1020227044393¶3¶B25J 9/16¶(2006.01.01)
1020227044393¶4¶B25J 11/00¶(2006.01.01)
1020227044393¶5¶F16H 19/00¶(2021.01.01)
1020227044393¶6¶H01L 21/677¶(2006.01.01)
1020227044393¶7¶H01L 21/687¶(2006.01.01)
1020197037645¶1¶G07C 9/00¶(2020.01.01)
1020197037645¶2¶A63G 7/00¶(2020.01.01)
1020197037645¶3¶G07C 11/00¶(2021.01.01)
1020197037645¶4¶G07F 17/12¶(2006.01.01)
1020197037645¶5¶A45C 13/18¶(2006.01.01)
1020197037645¶6¶G07C 11/00¶(2021.01.01)
1020180062164¶1¶G06F 1/16¶(2006.01.01)
1020180053265¶1¶B32B 7/027¶(2019.01.01)
1020180053265¶2¶B32B 7/12¶(2019.01.01)
1020180053265¶3¶B32B 5/16¶(2006.01.01)
1020180053265¶4¶B32B 5/30¶(2006.01.01)
1020150030839¶1¶H04B 5/00¶(2006.01.01)
1020150030839¶3¶H01Q 7/00¶(2018.01.01)
1020150030839¶4¶G06F 1/16¶(2006.01.01)
1020197008576¶1¶A61M 1/36¶(2006.01.01)
1020197008576¶2¶A61M 1/36¶(2006.01.01)
1020197008576¶3¶A61M 60/857¶(2021.01.01)
1020197008576¶4¶A61M 60/216¶(2021.01.01)
1020197008576¶5¶A61M 60/31¶(2021.01.01)
1020197008576¶6¶A61M 60/818¶(2021.01.01)
1020197008576¶7¶A61M 60/37¶(2021.01.01)
1020197008576¶8¶A61M 60/538¶(2021.01.01)
1020197008576¶9¶A61M 60/152¶(2021.01.01)
1020197008576¶10¶A61M 60/422¶(2021.01.01)
1020197008576¶11¶A61M 60/148¶(2021.01.01)
1020197008576¶12¶A61M 1/14¶(2006.01.01)
1020197008576¶13¶A61M 25/01¶(2006.01.01)
1020197008576¶14¶A61B 90/00¶(2016.01.01)
1020197008576¶15¶A61B 90/00¶(2016.01.01)
1020197008576¶16¶A61B 17/11¶(2006.01.01)
1020147029326¶1¶H01L 21/677¶(2006.01.01)
1020147029326¶2¶B25J 9/06¶(2006.01.01)
1020147029326¶3¶B65G 49/07¶(2014.01.01)
1020147029326¶4¶B66C 23/00¶(2006.01.01)
1020180038991¶1¶G01B 11/25¶(2006.01.01)
1020197028254¶1¶A61B 5/11¶(2006.01.01)
1020197028254¶2¶G01C 22/00¶(2006.01.01)
1020197028254¶3¶A61B 5/00¶(2021.01.01)
1020177004672¶1¶G10L 15/16¶(2006.01.01)
1020177004672¶2¶G10L 15/04¶(2006.01.01)
1020167032964¶1¶G06T 1/20¶(2018.01.01)
1020167032964¶2¶G06T 15/80¶(2011.01.01)
1020167032964¶3¶G09G 5/10¶(2006.01.01)
1020187016745¶1¶B25J 13/08¶(2006.01.01)
1020187016745¶2¶B25J 13/06¶(2006.01.01)
1020187016745¶3¶B25J 9/16¶(2006.01.01)
1020187016745¶4¶B25J 15/06¶(2006.01.01)
1020170007969¶1¶A44C 5/00¶(2006.01.01)
1020170007969¶2¶A44C 5/14¶(2006.01.01)
1020170134182¶1¶A44C 5/00¶(2006.01.01)
1020170134182¶2¶G09B 21/00¶(2006.01.01)
1020227032748¶1¶G01R 19/155¶(2006.01.01)
1020227032748¶2¶G01R 1/20¶(2006.01.01)
1020150141639¶1¶A61B 5/021¶(2006.01.01)
