출원번호¶특허분류일련번호¶ipc코드¶ipc개정일자
1020167027041¶7¶H04N 19/136¶(2014.01.01)
1020167027041¶8¶H04N 19/147¶(2014.01.01)
1020140086564¶1¶G06F 18/00¶(2023.01.01)
1020140086564¶2¶H04W 12/06¶(2021.01.01)
1020140086564¶3¶H04B 1/38¶(2015.01.01)
1020180031734¶1¶G06F 1/16¶(2006.01.01)
1020190054769¶1¶A61B 5/021¶(2006.01.01)
1020190054769¶2¶A61B 5/00¶(2021.01.01)
1020190054769¶3¶A61B 5/00¶(2021.01.01)
1020190054769¶4¶A61B 5/026¶(2006.01.01)
1020190054769¶5¶A61B 5/0535¶(2021.01.01)
1020190054769¶6¶A61B 5/00¶(2021.01.01)
1020190054769¶7¶A61B 5/00¶(2021.01.01)
1020190054769¶8¶A61B 5/00¶(2021.01.01)
1020190054769¶9¶A61B 5/00¶(2021.01.01)
1020190054769¶10¶A61B 5/00¶(2021.01.01)
1020177005555¶1¶H04N 7/01¶(2006.01.01)
1020170062870¶1¶A44C 5/14¶(2006.01.01)
1020170062870¶2¶G04B 37/14¶(2006.01.01)
1020170062870¶3¶G04G 17/00¶(2006.01.01)
1020150058947¶1¶A44C 5/00¶(2006.01.01)
1020170168323¶1¶A44C 5/00¶(2006.01.01)
1020170168323¶2¶A44C 5/14¶(2006.01.01)
1020160014442¶1¶A44C 5/20¶(2006.01.01)
1020160014442¶2¶G04B 37/14¶(2006.01.01)
1020107017567¶1¶A61B 17/28¶(2006.01.01)
1020107017567¶2¶A61B 17/00¶(2022.01.01)
1020107017567¶3¶A61H 39/04¶(2006.01.01)
1020227013328¶1¶B25J 9/04¶(2006.01.01)
1020227013328¶2¶B25J 9/10¶(2006.01.01)
1020227013328¶3¶B25J 9/16¶(2006.01.01)
1020227013328¶4¶F16H 19/00¶(2021.01.01)
1020227013328¶5¶H01L 21/677¶(2006.01.01)
1020227013328¶6¶H01L 21/687¶(2006.01.01)
1020197004196¶1¶B25J 9/04¶(2006.01.01)
1020197004196¶2¶B25J 9/10¶(2006.01.01)
1020197004196¶3¶B25J 9/16¶(2006.01.01)
1020197004196¶4¶F16H 19/00¶(2021.01.01)
1020197004196¶5¶H01L 21/677¶(2006.01.01)
1020197004196¶6¶H01L 21/67¶(2006.01.01)
1020197004196¶7¶H01L 21/687¶(2006.01.01)
1020150090567¶1¶H04B 1/48¶(2015.01.01)
1020150090567¶2¶H04B 1/401¶(2015.01.01)
1020150090567¶3¶H03H 7/46¶(2006.01.01)
1020150090567¶4¶H03H 9/72¶(2006.01.01)
1020177026522¶1¶G06F 21/35¶(2013.01.01)
1020177026522¶2¶H04L 9/40¶(2022.01.01)
1020177026522¶3¶H04L 41/00¶(2022.01.01)
1020177026522¶4¶G06F 9/445¶(2018.01.01)
1020187023043¶1¶G06F 21/35¶(2013.01.01)
1020187023043¶2¶H04L 9/40¶(2022.01.01)
1020187023043¶3¶H04L 41/00¶(2022.01.01)
1020187023043¶4¶G06F 9/445¶(2018.01.01)
1020130107833¶1¶G06F 21/32¶(2013.01.01)
1020130107833¶2¶G06F 21/44¶(2013.01.01)
1020180057437¶1¶G01S 19/21¶(2010.01.01)
1020180057437¶2¶H04B 7/185¶(2006.01.01)
1020140145799¶1¶G04G 21/02¶(2010.01.01)
1020140145799¶2¶G04G 21/04¶(2010.01.01)
1020140145799¶3¶G09B 19/00¶(2006.01.01)
1020140145799¶4¶A61B 5/024¶(2006.01.01)
1020140145799¶5¶G01C 22/00¶(2006.01.01)
1020140041242¶1¶G06F 3/01¶(2006.01.01)
1020160023087¶1¶G06T 19/00¶(2011.01.01)
1020160023087¶2¶G06F 16/532¶(2019.01.01)
1020160023087¶3¶G02B 27/01¶(2006.01.01)
1020200188623¶1¶G16H 10/60¶(2018.01.01)
1020200188623¶2¶G16B 40/20¶(2019.01.01)
1020200188623¶3¶G16H 50/20¶(2018.01.01)
1020200188623¶4¶G16H 50/30¶(2018.01.01)
1020200188623¶5¶G16H 40/67¶(2018.01.01)
1020200188623¶6¶H04W 4/80¶(2018.01.01)
1020200188623¶7¶H04W 4/30¶(2018.01.01)
1020200188623¶8¶G06Q 30/06¶(2023.01.01)
1020147024077¶1¶A61K 38/10¶(2006.01.01)
1020147024077¶2¶A61K 38/17¶(2006.01.01)
1020147024077¶3¶A61K 48/00¶(2006.01.01)
1020147024077¶4¶C07K 14/705¶(2006.01.01)
1020147024077¶5¶A61P 29/02¶(2006.01.01)
1020130122266¶1¶H04W 88/06¶(2009.01.01)
1020130122266¶2¶H04W 68/02¶(2009.01.01)
1020087013681¶1¶A63B 21/055¶(2006.01.01)
1020087013681¶2¶A63B 21/00¶(2006.01.01)
1020207001085¶1¶H01L 21/677¶(2006.01.01)
1020207001085¶2¶H01L 21/687¶(2006.01.01)
1020207001085¶3¶B25J 9/04¶(2006.01.01)
1020207001085¶4¶B25J 9/10¶(2006.01.01)
1020207001085¶5¶B25J 11/00¶(2006.01.01)
