출원번호,일련번호,특허유형
1020120079439,1020110036196,A
1020120079439,1009698150000,B1
1020120079439,1007317900000,B1
1020050088141,1020030035536,A
1020050088141,1020030041361,A
1020050088141,2001856960000,Y1
1020090040784,1008221730000,B1
1020090040784,2004416230000,Y1
1020130110021,1020100103777,A
1020120069755,2019960002224,Y1
1020120069755,2020100009903,U
1020160086603,2004803140000,Y1
1020160086603,2019940001541,U
1020160086603,1008269990000,B1
1020100006370,1005058070000,B1
1020100006370,1020060028591,A
1020120109569,1020100019595,A
1020120109570,1020090050448,A
1020120109570,1020090050446,A
1020090093732,1008801530000,B1
1020090093732,1020050111561,A
1020090093732,1020090023263,A
1020050075755,1019880000768,A
1020050075755,1020020026292,A
1020050109270,1019980003310,A
1020050109270,1020010039181,A
1020050109270,2002453370000,Y1
1020060057976,1006351070000,B1
1020060057976,1019980019777,A
1020060057976,1020050104498,A
1020060057976,1020060024053,A
1020060057976,2019990013526,U
1020140143697,1020050093553,A
1020220078804,1020150057825,A
1020220078804,1020466470000,B1
1020180029769,1020060026935,A
1020180029769,1020150018096,A
1020180029769,2004006820000,Y1
1020180029769,1020090061256,A
1020180029769,1020160044130,A
1020180029769,1020090040816,A
1020060070204,1004592530000,B1
1020060070204,1004975700000,B1
1020060070204,1020010082423,A
1020060070204,1020060114795,A
1020140031442,1020120045249,A
1020140031442,1020130052912,A
1020140031442,1020100087620,A
1020150104095,1020100054383,A
1020150104095,1020100134852,A
1020150104095,1020130052912,A
1020150104095,1020120018607,A
1020160009587,1020090098392,A
1020160009587,1012719870000,B1
1020160009587,1020090069116,A
1020160009587,1020150033997,A
1020160009587,2019990003986,U
1020160009587,2020000016857,U
1020110080475,1020090047906,A
1020110080475,1020110010208,A
1020110080475,2019910000734,Y1
1020130078660,2002911980000,Y1
1020170022279,1015803060000,B1
1020170022279,1002661810000,B1
1020170022279,1020130026866,A
1020170022279,1008146060000,B1
1020190107839,1007924810000,B1
1020190107839,1016207980000,B1
1020180090161,1020180008225,A
1020080097235,1007591150000,B1
1020080097235,1008043030000,B1
1020080097235,2003648240000,Y1
1020140176180,2004118220000,Y1
1020140176180,2019940001410,U
1020140176180,2020090010816,U
1020160090767,1007332730000,B1
1020160090767,1013099170000,B1
1020160090767,1020120124921,A
1020160090767,1009192630000,B1
1020160090767,2020140006126,U
1020160090767,1020080041344,A
1020180110786,1014409490000,B1
1020180110786,1020180098958,A
1020180110786,2002653510000,Y1
1020180110786,1020080018023,A
1020180110786,1005023030000,B1
1020180110786,1005721960000,B1
1020190088371,1020180018389,A
1020210049210,1020200073862,A
1020210049210,2020090010845,U
1020200166506,1019990046671,A
1020200166506,1020130053830,A
1020200166506,2002792570000,Y1
1020200166506,1020090039205,A
1020200166506,1009671620000,B1
1020100001440,1020020040230,A
1020100001440,2002598150000,Y1
1020130036592,1020080069339,A
1020130036592,1020120137734,A
1020060093919,1019900000661,A
1020060093919,2019910008572,Y1
1020060093919,2019920000721,Y1
1020140057497,1020090074682,A
1020140057497,1020040027092,A
1020140057497,1020060101111,A
1020190021517,1015565500000,B1
1020190021517,1020100112360,A
1020190021517,1020170035439,A
1020190021517,2003643810000,Y1
1020190021517,1020170035438,A
1020120041944,1020030013657,A
1020120041944,1020040071562,A
1020130054200,1020130015778,A
1020130054200,1020090090225,A
1020130139597,1012504350000,B1
1020130139597,1020100068008,A
1020200132730,1010808350000,B1
1020200132730,1020030029072,A
1020200132730,1020160089991,A
1020140044523,1012884430000,B1
1020140044523,2004682790000,Y1
1020140044523,2019900014760,U
