출원번호¶특허분류일련번호¶cpc코드¶cpc개정일자
1020150121789¶3¶G01C 21/16¶(2020.08)
1020150121789¶4¶G08B 21/0438¶(2013.01)
1020150121789¶5¶G08B 21/0407¶(2013.01)
1020150121789¶6¶H04M 2250/02¶(2013.01)
1020160063686¶1¶H01Q 1/2208¶(2013.01)
1020160063686¶2¶H01Q 1/38¶(2013.01)
1020160063686¶3¶H01Q 7/00¶(2013.01)
1020160063686¶4¶H04B 5/0081¶(2013.01)
1020210186342¶1¶G16H 20/10¶(2013.01)
1020210186342¶2¶G16H 50/70¶(2013.01)
1020210186342¶3¶G16H 70/40¶(2013.01)
1020210186342¶4¶G16H 30/20¶(2013.01)
1020210186342¶5¶G16H 40/67¶(2013.01)
1020210186342¶6¶A61B 5/0024¶(2013.01)
1020210186342¶7¶G06N 20/00¶(2013.01)
1020210186342¶8¶G06N 3/08¶(2013.01)
1020210186342¶9¶G16H 40/63¶(2013.01)
1020210186342¶10¶A61B 5/6831¶(2013.01)
1020140117294¶1¶G06F 3/016¶(2013.01)
1020140117294¶2¶G06F 3/014¶(2013.01)
1020167014066¶1¶H04N 19/124¶(2013.01)
1020167014066¶2¶H04N 19/122¶(2013.01)
1020167014066¶3¶H04N 19/13¶(2013.01)
1020167014066¶4¶H04N 19/105¶(2013.01)
1020167014066¶5¶H04N 19/117¶(2013.01)
1020167014066¶6¶H04N 19/119¶(2013.01)
1020167014066¶7¶H04N 19/136¶(2013.01)
1020167014066¶8¶H04N 19/184¶(2013.01)
1020167014066¶9¶H04N 19/186¶(2013.01)
1020167014066¶10¶H04N 19/53¶(2013.01)
1020167014066¶11¶H04N 19/573¶(2013.01)
1020170120231¶1¶A61N 1/36031¶(2013.01)
1020170120231¶2¶A61N 1/36003¶(2013.01)
1020170120231¶3¶A61B 5/383¶(2013.01)
1020170120231¶4¶A61B 5/7235¶(2013.01)
1020170120231¶5¶A61N 1/0452¶(2013.01)
1020170120231¶6¶A61N 1/0492¶(2013.01)
1020167023345¶1¶G06F 30/00¶(2013.01)
1020167023345¶2¶G06T 7/35¶(2013.01)
1020167023345¶3¶G06F 2111/10¶(2013.01)
1020150011145¶1¶A61H 1/0285¶(2013.01)
1020150011145¶2¶A61H 2201/5058¶(2013.01)
1020150011145¶3¶A61H 2201/5043¶(2013.01)
1020150011145¶4¶A61H 2201/5048¶(2013.01)
1020120022594¶1¶H01L 21/67742¶(2013.01)
1020120022594¶2¶H01L 21/68707¶(2013.01)
1020120022594¶3¶B25J 9/043¶(2013.01)
1020120022594¶4¶B25J 9/102¶(2013.01)
1020120022594¶5¶B25J 11/0095¶(2013.01)
1020120022594¶6¶Y10S 414/141¶(2013.01)
1020207028059¶1¶H01L 29/786¶(2013.01)
1020207028059¶2¶H01L 21/0228¶(2013.01)
1020207028059¶3¶H01L 21/02274¶(2013.01)
1020207028059¶4¶H01L 2924/0104¶(2013.01)
1020150114402¶1¶A44C 5/00¶(2013.01)
1020150114402¶2¶A44C 27/00¶(2013.01)
1020150114402¶3¶A41D 13/088¶(2013.01)
1020150114402¶4¶A63B 71/14¶(2013.01)
1020187000619¶1¶G06F 1/206¶(2013.01)
1020187000619¶2¶G06F 1/203¶(2013.01)
1020187000619¶3¶G06F 1/163¶(2013.01)
1020187000619¶4¶G04B 37/1486¶(2013.01)
1020187000619¶5¶G04G 17/00¶(2013.01)
1020210111296¶1¶B32B 5/245¶(2013.01)
1020210111296¶2¶B32B 5/18¶(2013.01)
1020210111296¶3¶B32B 5/022¶(2013.01)
1020210111296¶4¶B32B 7/12¶(2013.01)
1020210111296¶5¶B32B 37/08¶(2013.01)
1020210111296¶6¶B32B 37/12¶(2013.01)
1020210111296¶7¶C09J 175/04¶(2013.01)
1020210111296¶8¶C09J 133/00¶(2013.01)
1020210111296¶9¶B42D 25/26¶(2013.01)
1020210111296¶10¶B42D 25/40¶(2013.01)
1020210111296¶11¶A44C 5/0015¶(2013.01)
1020210111296¶12¶B32B 2255/102¶(2013.01)
1020210111296¶13¶B32B 2255/205¶(2013.01)
1020180117511¶1¶A61H 39/06¶(2013.01)
1020180117511¶2¶A61F 7/007¶(2013.01)
1020180117511¶3¶A61B 5/332¶(2013.01)
1020180117511¶4¶A61B 5/6831¶(2013.01)
1020180117511¶5¶A61B 5/0022¶(2013.01)
1020180117511¶6¶A61H 2201/0235¶(2013.01)
1020180117511¶7¶A61H 2230/04¶(2013.01)
1020180117511¶8¶A61H 2201/5012¶(2013.01)
1020180117511¶9¶A61H 2205/06¶(2013.01)
1020180117511¶10¶A61F 2007/0074¶(2013.01)
1020180117511¶11¶A61F 2007/0035¶(2013.01)
1020180117511¶12¶A61F 2007/0228¶(2013.01)
1020150081723¶1¶A44C 5/0015¶(2013.01)
1020150081723¶2¶G06K 19/077¶(2013.01)
1020150081723¶3¶G06K 19/06037¶(2013.01)
1020150081723¶4¶G07B 15/02¶(2013.01)
1020160014413¶1¶A44C 5/20¶(2013.01)
1020160014413¶2¶A44B 11/02¶(2013.01)
1020160014413¶3¶G04B 37/1486¶(2013.01)
1020160014413¶4¶A44D 2200/10¶(2013.01)
1020170063067¶1¶A61B 5/0531¶(2021.01)
1020170063067¶2¶A61B 5/01¶(2021.01)
1020170063067¶3¶A61B 5/25¶(2022.01)
1020170063067¶4¶A61B 5/7225¶(2021.01)
1020170063067¶5¶G04G 21/025¶(2013.01)
1020170063067¶6¶A61B 2562/0209¶(2021.01)
1020170063067¶7¶A61B 2562/0271¶(2013.01)
1020207016660¶1¶A61B 34/71¶(2013.01)
1020207016660¶2¶A61B 34/35¶(2013.01)
1020207016660¶3¶A61B 17/29¶(2013.01)
1020207016660¶4¶A61B 2034/715¶(2013.01)
1020207016660¶5¶A61B 2017/2939¶(2013.01)
1020207016660¶6¶A61B 2017/2919¶(2013.01)
1020207016660¶7¶A61B 2017/2946¶(2013.01)
1020177018396¶1¶A44C 5/20¶(2013.01)
1020177018396¶2¶A44C 5/0007¶(2013.01)
1020177018396¶3¶A44D 2203/00¶(2013.01)
1020167004736¶1¶G06F 21/35¶(2013.01)
1020167004736¶2¶H04L 63/107¶(2013.01)
1020167004736¶3¶H04L 41/0816¶(2013.01)
1020167004736¶4¶H04L 63/10¶(2013.01)
1020167004736¶5¶G06F 9/44505¶(2013.01)
1020167004736¶6¶G06F 2221/2111¶(2013.01)
1020167004736¶7¶G06F 2221/2113¶(2013.01)
1020160049398¶1¶H04L 9/08¶(2013.01)
1020160049398¶2¶H04L 9/085¶(2013.01)
1020160049398¶3¶H04L 9/0866¶(2013.01)
1020160049398¶4¶H04L 9/12¶(2013.01)
1020160049398¶5¶H04L 9/0869¶(2013.01)
1020160049398¶6¶H04L 12/40104¶(2013.01)
1020150075771¶1¶G06K 19/0723¶(2013.01)
1020150075771¶2¶G06K 19/07749¶(2013.01)
1020150075771¶3¶H04B 5/0025¶(2013.01)
1020150075771¶4¶H04B 5/0081¶(2013.01)
1020190156899¶1¶G01N 29/04¶(2013.01)
1020190156899¶2¶G01N 29/44¶(2013.01)
1020190156899¶3¶G06F 17/14¶(2013.01)
1020180129642¶1¶A61B 5/4884¶(2013.01)
1020180129642¶2¶G16H 50/20¶(2013.01)
1020180129642¶3¶A61B 5/0024¶(2013.01)
1020180129642¶4¶A61B 5/7235¶(2013.01)
1020180129642¶5¶A61B 5/7275¶(2013.01)
1020180129642¶6¶A61B 5/165¶(2013.01)
1020180129642¶7¶A61B 2562/0219¶(2013.01)
1020167001438¶1¶G02B 27/017¶(2013.01)
1020167001438¶2¶G06F 3/011¶(2013.01)
1020167001438¶3¶G06F 3/012¶(2013.01)
1020167001438¶4¶G02B 2027/014¶(2013.01)
1020167001438¶5¶G02B 2027/0178¶(2013.01)
1020167001438¶6¶G02B 2027/0187¶(2013.01)
1020167027041¶1¶H04N 19/124¶(2013.01)
1020167027041¶2¶H04N 19/14¶(2013.01)
1020167027041¶3¶H04N 19/159¶(2013.01)
1020167027041¶4¶H04N 19/172¶(2013.01)
1020167027041¶5¶H04N 19/176¶(2013.01)
1020167027041¶6¶H04N 19/197¶(2013.01)
1020167027041¶7¶H04N 19/136¶(2013.01)
1020167027041¶8¶H04N 19/147¶(2013.01)
1020140086564¶1¶G06F 18/00¶(2013.01)
1020180031734¶1¶G06F 1/163¶(2013.01)
1020180031734¶2¶G06F 1/1633¶(2013.01)
1020180031734¶3¶G06F 1/1601¶(2013.01)
1020190054769¶1¶A61B 5/021¶(2013.01)
1020190054769¶2¶A61B 5/7235¶(2013.01)
1020190054769¶3¶A61B 5/7275¶(2013.01)
1020190054769¶4¶A61B 5/0261¶(2013.01)
1020190054769¶5¶A61B 5/0535¶(2013.01)
1020190054769¶6¶A61B 5/0059¶(2013.01)
1020190054769¶7¶A61B 5/6825¶(2013.01)
1020190054769¶8¶A61B 5/6824¶(2013.01)
1020190054769¶9¶A61B 5/6814¶(2013.01)
1020190054769¶10¶A61B 5/6816¶(2013.01)
1020177005555¶1¶H04N 7/0115¶(2013.01)
1020177005555¶2¶H04N 7/012¶(2013.01)
1020177005555¶3¶H04N 7/0147¶(2013.01)
1020170062870¶1¶A44C 5/14¶(2013.01)
1020170062870¶2¶G04B 37/1486¶(2013.01)
1020170062870¶3¶G04G 17/00¶(2013.01)
1020150058947¶1¶A44C 5/0007¶(2013.01)
1020150058947¶2¶A44C 5/0053¶(2013.01)
1020170168323¶1¶A44C 5/0023¶(2013.01)
1020170168323¶2¶A44C 5/14¶(2013.01)
1020160014442¶1¶A44C 5/2023¶(2013.01)
1020160014442¶2¶G04B 37/1486¶(2013.01)
1020107017567¶1¶A61B 17/32¶(2013.01)
1020107017567¶2¶A61B 17/00¶(2013.01)
1020227013328¶1¶B25J 9/043¶(2013.01)
1020227013328¶2¶B25J 9/104¶(2013.01)
1020227013328¶3¶B25J 9/1682¶(2013.01)
1020227013328¶4¶F16H 19/005¶(2013.01)
1020227013328¶5¶H01L 21/67742¶(2013.01)
1020227013328¶6¶H01L 21/68707¶(2013.01)
1020197004196¶1¶B25J 9/043¶(2013.01)
1020197004196¶2¶B25J 9/104¶(2013.01)
1020197004196¶3¶B25J 9/1682¶(2013.01)
1020197004196¶4¶F16H 19/005¶(2013.01)
1020197004196¶5¶H01L 21/67742¶(2013.01)
1020197004196¶6¶H01L 21/67167¶(2013.01)
1020197004196¶7¶H01L 21/67196¶(2013.01)
1020197004196¶8¶H01L 21/68707¶(2013.01)
1020150090567¶1¶H04B 1/48¶(2013.01)
1020150090567¶2¶H04B 1/401¶(2013.01)
1020150090567¶3¶H03H 7/465¶(2013.01)
1020150090567¶4¶H03H 9/725¶(2013.01)
1020177026522¶1¶G06F 21/35¶(2013.01)
1020177026522¶2¶H04L 63/107¶(2013.01)
1020177026522¶3¶H04L 41/0816¶(2013.01)
1020177026522¶4¶G06F 9/44505¶(2013.01)
1020177026522¶5¶G06F 2221/2111¶(2013.01)
1020177026522¶6¶G06F 2221/2113¶(2013.01)
1020187023043¶1¶G06F 21/35¶(2013.01)
1020187023043¶2¶H04L 63/107¶(2013.01)
1020187023043¶3¶H04L 41/0816¶(2013.01)
1020187023043¶4¶G06F 9/44505¶(2013.01)
1020187023043¶5¶G06F 2221/2111¶(2013.01)
1020187023043¶6¶G06F 2221/2113¶(2013.01)
1020130107833¶1¶G06F 21/44¶(2013.01)
1020130107833¶2¶G06F 21/32¶(2013.01)
1020180057437¶1¶G01S 19/21¶(2013.01)
1020180057437¶2¶H04B 7/18547¶(2013.01)
1020140145799¶1¶G04G 21/02¶(2013.01)
1020140145799¶2¶G04G 21/04¶(2013.01)
1020140145799¶3¶G09B 19/0038¶(2013.01)
1020140145799¶4¶A61B 5/024¶(2013.01)
1020140145799¶5¶G01C 22/00¶(2013.01)
1020140041242¶1¶G06F 3/014¶(2013.01)
1020140041242¶2¶G06F 13/14¶(2013.01)
1020160023087¶1¶G06T 19/006¶(2013.01)
1020160023087¶2¶G06F 16/532¶(2013.01)
1020160023087¶3¶G02B 27/017¶(2013.01)
1020160023087¶4¶G06T 2207/10016¶(2013.01)
1020200188623¶1¶G16H 10/60¶(2013.01)
1020200188623¶2¶G16B 40/20¶(2013.01)
1020200188623¶3¶G16H 50/20¶(2013.01)
1020200188623¶4¶G16H 50/30¶(2013.01)
1020200188623¶5¶G16H 40/67¶(2013.01)
1020200188623¶6¶A61B 5/0002¶(2013.01)
1020200188623¶7¶A61B 5/681¶(2013.01)
1020200188623¶8¶A61B 5/6892¶(2013.01)
1020200188623¶9¶H04W 4/80¶(2013.01)
1020200188623¶10¶H04W 4/30¶(2013.01)
1020200188623¶11¶G06Q 30/0631¶(2013.01)
1020147024077¶1¶A61K 38/10¶(2013.01)
1020147024077¶2¶A61K 38/179¶(2013.01)
1020147024077¶3¶C07K 14/705¶(2013.01)
1020130122266¶1¶H04W 68/02¶(2013.01)
1020130122266¶2¶H04W 88/06¶(2013.01)
1020087013681¶1¶A63B 21/0552¶(2013.01)
1020087013681¶2¶A63B 21/151¶(2013.01)
1020207001085¶1¶H01L 21/67742¶(2013.01)
1020207001085¶2¶H01L 21/68707¶(2013.01)
1020207001085¶3¶B25J 9/043¶(2013.01)
1020207001085¶4¶B25J 9/106¶(2013.01)
1020207001085¶5¶B25J 9/1005¶(2013.01)
1020207001085¶6¶B25J 11/0095¶(2013.01)
